Date,Tdry,Tmax,Tmin
2009.001,0.3,2.4,-1.8
2009.004,0.2,5.9,-2
2009.007,-3.1,3.9,-5.5
2009.01,-5.4,1.9,-6.2
2009.012,1.6,3,-5.5
2009.015,-3.6,1.4,-4.5
2009.018,-0.7,2.1,-7.2
2009.021,1.3,4.2,-0.7
2009.023,-2,0,-2.4
2009.026,-4.8,4.8,-5
2009.029,4.5,9.3,-5.1
2009.032,8.3,9.9,4.4
2009.034,7.8,9.6,6.9
2009.037,-0.8,7.1,-2.1
2009.04,6.6,7.5,-0.8
2009.042,6.3,9.5,5
2009.045,6.5,9.8,6.3
2009.048,4,7,3.5
2009.051,3.5,7.2,3.1
2009.053,3,7,1.2
2009.056,0.5,8.8,-1.6
2009.059,3.6,10.3,0.5
2009.062,3.5,7.8,3.5
2009.064,-0.7,7.7,-2.5
2009.067,6.9,7.9,-0.7
2009.07,4.5,8.4,3.2
2009.073,-1.1,8.1,-1.5
2009.075,6.5,8.5,-1.1
2009.078,2.6,6,2.6
2009.081,3.1,7.2,0.8
2009.084,2.1,7,1.8
2009.086,1.5,2.8,-1.3
2009.089,-1.9,0.2,-2.8
2009.092,-0.5,3.1,-3.9
2009.095,-0.1,5.5,-2
2009.097,0.9,3.1,-0.2
2009.1,1,1.9,0.3
2009.103,0,4.3,-3.1
2009.105,-0.1,5.2,-1.2
2009.108,3.2,5.1,-0.1
2009.111,2,6.3,1
2009.114,0.7,7.5,-1.9
2009.116,-0.9,6.6,-2.5
2009.119,3.1,6.4,-0.9
2009.122,-0.3,6.2,-3.5
2009.125,4,8.7,-0.2
2009.127,4.6,11.8,3.3
2009.13,8.2,10,3.6
2009.133,8,9.2,7.5
2009.136,6.8,9.4,6.5
2009.138,5.5,9.8,4.4
2009.141,6,12.5,3
2009.144,8.4,11.9,4
2009.147,8.5,10.2,7
2009.149,8.4,10.9,7.8
2009.152,8.3,9.5,7.9
2009.155,6.3,9.7,5.1
2009.158,8.3,14,6.2
2009.16,7.6,9.6,6.7
2009.163,5.9,11.3,1.6
2009.166,4.9,11.6,0.7
2009.168,8.2,10.5,4.9
2009.171,3.2,8.3,1.2
2009.174,2.5,7.9,-0.1
2009.177,3,10.9,-1.6
2009.179,7.9,12.3,3.1
2009.182,6.8,10.9,5.2
2009.185,6.9,11.1,1.7
2009.188,9.5,11.8,6
2009.19,5.1,13.5,0.1
2009.193,10,12.2,5.2
2009.196,9,11,5.3
2009.199,10.2,13.5,6.5
2009.201,8.9,14.5,3.4
2009.204,8.6,15.7,1
2009.207,8.7,15,2.1
2009.21,6.8,15.1,3
2009.212,7.1,14.7,-0.1
2009.215,6.4,13.9,2.6
2009.218,6,15.1,-1.5
2009.221,8.8,14.8,5.2
2009.223,9.2,13.3,5.1
2009.226,6.7,11.1,3.6
2009.229,9.2,12.5,6.6
2009.232,8.3,14.2,7
2009.234,5.9,10.9,3.9
2009.237,6.5,10.4,1
2009.24,4.9,10.7,-1.1
2009.242,7.2,13.3,-1.3
2009.245,9,15.8,7.5
2009.248,10.9,13.5,1.6
2009.251,8.1,14.9,6.4
2009.253,5.4,14,4.4
2009.256,11.9,15.6,5.2
2009.259,9.5,14.7,5.3
2009.262,11.9,16.7,5.4
2009.264,9.8,14.5,6.7
2009.267,10.5,15.5,7.3
2009.27,12.6,14.5,6.9
2009.273,11,12,10
2009.275,8.4,12,7.5
2009.278,9.4,11.7,8.2
2009.281,10.5,16.1,6.6
2009.284,13,17.6,3.5
2009.286,10.9,20.4,9.2
2009.289,13,16.3,10.1
2009.292,8.5,10.5,8
2009.295,8.5,15.1,5
2009.297,9.5,15.5,4.1
2009.3,11.4,18,3.3
2009.303,13.9,18.9,3.5
2009.305,13.1,18.3,5.1
2009.308,12.9,17.9,6.5
2009.311,15,17.5,6.5
2009.314,10.1,14.5,8.6
2009.316,12.9,16,2.9
2009.319,9,10,5.2
2009.322,7.5,14.4,0.9
2009.325,11.9,16.2,1.5
2009.327,13.2,15.1,8.1
2009.33,15,18.4,7.8
2009.333,12.5,17.3,6
2009.336,11.5,14.4,9
2009.338,10.5,14.4,3.3
2009.341,14,18.1,10.6
2009.344,14,18.6,10.5
2009.347,11.6,14.8,9
2009.349,7.5,14.8,7.5
