Date (Y.YYY),Tdry (deg C),Tmax (deg C),Tmin (deg C),RainStd (mm),"White Christmas? (1=yes,0=no)",Precip?,Tmin freeze?,both?
1968.971,4.1,11.4,3.9,10.2,1,1,0,0
1968.974,8.7,11.2,3.6,0,1,0,0,0
1968.977,6.1,7.9,6.1,0,1,0,0,0
1968.98,2.6,4.9,1.3,17.8,1,1,0,0
1968.982,0.6,2.8,0.1,0,1,0,0,0
1968.985,-1.6,1.1,-3.1,0,1,0,1,0
1968.988,-1.7,1.1,-3.2,0,1,0,1,0
1968.99,-1.9,0.2,-3.4,0,1,0,1,0
1968.993,-0.6,1.1,-2.2,2.5,1,1,1,1
1968.996,0.7,1.8,-0.9,0,1,0,1,0
1969.971,9.1,11.3,1.1,7.6,1,1,0,0
1969.974,7.9,8.7,7.8,0,1,0,0,0
1969.977,4.4,8.1,2.2,0,1,0,0,0
1969.979,7.9,10.1,4.4,7.6,1,1,0,0
1969.982,6.2,6.3,6.1,0,1,0,0,0
1969.985,5.4,6.1,4.2,0,1,0,0,0
1969.988,3.7,6.1,2.8,0,1,0,0,0
1969.99,1.1,1.7,-0.9,0,1,0,1,0
1969.993,-1.1,1.1,-1.9,0,1,0,1,0
1969.996,1.1,2.1,-1.9,0,1,0,1,0
1969.999,-1.9,0.1,-2.2,0.3,1,1,1,1
1970.971,4.3,6.5,0.2,0,1,0,0,0
1970.974,1.8,4.1,-2.1,0,1,0,1,0
1970.977,2.9,6.1,2.7,33,1,1,0,0
1970.979,-0.8,1.3,-3.3,20.3,1,1,1,1
1970.982,-2.4,0.9,-3.9,20.3,1,1,1,1
1970.985,0.6,0.9,-4.4,71.1,1,1,1,1
1970.988,-2.2,0.8,-3.9,7.6,1,1,1,1
1970.99,0.6,2.2,-4,121.9,1,1,1,1
1970.993,1.1,1.9,0.1,167.6,1,1,0,0
1970.996,1.7,2.6,0,0,1,0,1,0
1970.999,-1.8,1.8,-3.4,0,1,0,1,0
1971.971,12.6,13.9,9.8,2.3,0,1,0,0
1971.974,8.8,11.8,8.7,7.1,0,1,0,0
1971.977,8.2,8.8,8.2,0,0,0,0,0
1971.979,5.5,9.6,2.2,0,0,0,0,0
1971.982,6.4,8.6,5.1,0.2,0,1,0,0
1971.985,7.5,9.3,6.1,0.1,0,1,0,0
1971.988,6.4,11,5.6,2.2,0,1,0,0
1971.99,3.9,5.6,3.8,0.2,0,1,0,0
1971.993,0.8,3.6,0.2,0,0,0,0,0
1971.996,2.3,3.9,0.6,0.1,1,1,0,0
1971.999,3.9,4.7,0.6,0,0,0,0,0
1972.971,1.9,2.5,0.7,0,0,0,0,0
1972.974,0.5,1.6,0.4,0,0,0,0,0
1972.977,1,4.5,0.2,0,0,0,0,0
1972.98,3.1,6.4,0.8,0,0,0,0,0
1972.982,6,7.3,1.3,0,0,0,0,0
1972.985,5.4,8.6,2.7,1.3,0,1,0,0
1972.988,8,11.1,5.3,0.9,0,1,0,0
1972.99,10,10,7.7,0,0,0,0,0
1972.993,5,9.6,4.5,0.2,0,1,0,0
1972.996,0,2.8,-0.5,0,0,0,1,0
1973.971,8.3,9,7.8,7.6,0,1,0,0
1973.974,4.9,8,4.3,8.8,0,1,0,0
1973.977,5.5,8.7,2.5,2.8,0,1,0,0
1973.979,4.3,5.4,3.1,0,0,0,0,0
1973.982,3,6.5,0.3,2.1,0,1,0,0
1973.985,6.5,10,1,0.1,0,1,0,0
1973.988,8.6,9.1,6.5,0,0,0,0,0
1973.99,8.7,10.1,8,0.2,0,1,0,0
